,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol
ENSG00000106636.6,1.34088181964992,1.23661629458729,1.45393851119173,1.22808172044797e-12,1.33355425839147,1.19432719395473,1.48901152805989,3.11232321878824e-07,YKT6
ENSG00000083444.15,1.25036042241569,1.1817961379807,1.32290260197913,8.16428624913629e-15,1.26975702205428,1.15745390240926,1.39295646392497,4.30830790697211e-07,PLOD1
ENSG00000090861.14,1.21876661622806,1.12800195587804,1.31683465360284,5.43325858960856e-07,1.21876661622806,1.12800195587804,1.31683465360284,5.43325858960856e-07,AARS
ENSG00000106263.16,1.26831397196622,1.17637423442811,1.3674392760453,5.98882164207696e-10,1.26119928126608,1.15133428749541,1.38154803895078,6.0246035161332e-07,EIF3B
ENSG00000183617.4,0.867631597186998,0.819591780565305,0.918487235094079,1.03079490857636e-06,0.867631597186998,0.819591780565305,0.918487235094079,1.03079490857636e-06,MRPL54
ENSG00000170027.6,1.36996415110613,1.25660567361364,1.49354870404077,9.11412481034903e-13,1.42671952624198,1.23203789466819,1.65216395970381,2.05733488889345e-06,YWHAG
ENSG00000204569.8,0.787603553550223,0.719648809842031,0.861975103802514,2.14589186928025e-07,0.783797147510875,0.707702337736751,0.868073956645179,2.93744476859169e-06,PPP1R10
ENSG00000088832.13,1.20884973525905,1.11626996399432,1.30910776924148,3.07603322217643e-06,1.20884973525905,1.11626996399432,1.30910776924148,3.07603322217643e-06,FKBP1A
ENSG00000169762.15,0.765963735254693,0.710308624763844,0.825979614030989,4.28797305108402e-12,0.737077892293752,0.645937324398524,0.841078226612912,5.90042405108013e-06,TAPT1
ENSG00000168439.15,1.36891222867879,1.26312318160208,1.48356131620477,1.97538440020164e-14,1.3928623841527,1.20621530756394,1.60839081465953,6.35924112711489e-06,STIP1
ENSG00000176209.10,0.857071155333352,0.806260922082991,0.911083428682948,7.55872049013002e-07,0.855964927886957,0.798905972146337,0.917099112182275,9.93228012737608e-06,SMIM19
ENSG00000118705.15,1.22795124055134,1.13645933729749,1.32680879965077,2.01524918299704e-07,1.22555936644333,1.11844411716236,1.34293322091742,1.30772492540857e-05,RPN2
ENSG00000175166.15,1.28972274919269,1.19297414485296,1.3943175356832,1.60544007640285e-10,1.30319922514828,1.15586010952197,1.46931986529879,1.51729108101875e-05,PSMD2
ENSG00000185122.9,1.20641713509416,1.12172278780337,1.29750622852098,4.35143474164199e-07,1.20732268802079,1.10650108698501,1.31733090021763,2.28955752976916e-05,HSF1
ENSG00000104679.9,0.854924695841581,0.793973783481812,0.920554621280593,3.27363294526388e-05,0.854924695841581,0.793973783481812,0.920554621280593,3.27363294526388e-05,R3HCC1
ENSG00000136240.8,1.27948170958664,1.18512748461892,1.38134797008202,2.86975707582942e-10,1.27872957165741,1.13857068163686,1.43614212433468,3.3118793262292e-05,KDELR2
ENSG00000158850.13,1.21921128226701,1.12744464580383,1.31844712406911,6.88846800265501e-07,1.26586051403525,1.1314836383937,1.41619621055098,3.83153853284289e-05,B4GALT3
ENSG00000146731.9,1.23725819293518,1.1593518826426,1.3203996637293,1.39947466697215e-10,1.29369203081487,1.14435429221823,1.46251827950041,3.87909652904015e-05,CCT6A
