,X,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,symbol.x,idx,beta,pval,cilb,ciub,i2,tau2,symbol.y
1700,ENSG00000180628.13,0.83620022910672,0.779353674379491,0.897193207839622,6.35618385173869e-07,0.827040782505542,0.731934807068482,0.934504616151397,0.00231324503479176,PCGF5,3059,-0.570678828474245,5.80798191160187e-29,-0.670826430805482,-0.470531226143008,90.9462722576909,0.0490809682455675,PCGF5
1284,ENSG00000157778.7,1.08700438530836,1.02856734972454,1.14876146321001,0.00308626968153855,1.06374842252607,0.983690960230484,1.1503213429567,0.121608768222346,PSMG3,55984,0.876729956878736,9.12599179176427e-27,0.71628714038783,1.03717277336964,93.7964667857402,0.130165996235751,PSMG3
938,ENSG00000134697.11,1.18983177303458,1.08926657430404,1.29968153023252,0.000114448705133042,1.22679056916009,1.06469211029918,1.41356837908493,0.00469977952668068,GNL2,43370,0.449373139849082,7.57278120179377e-23,0.359865295491639,0.538880984206525,91.5253801972246,0.036803534438819,GNL2
348,ENSG00000102898.10,1.14920819865699,1.07271987393304,1.23115038320143,7.57273926499225e-05,1.09838661863975,0.974958999109779,1.23743989758385,0.122833559624503,NUTF2,34140,0.565907085835214,2.34619675151405e-22,0.451861422427459,0.679952749242968,93.2957692635442,0.0643658358100096,NUTF2
438,ENSG00000106263.16,1.26831397196622,1.17637423442811,1.3674392760453,5.98882164207696e-10,1.26119928126608,1.15133428749541,1.38154803895078,6.0246035161332e-07,EIF3B,18837,0.609347818117829,6.77661778108282e-22,0.485161758477107,0.733533877758551,96.5457910859593,0.0814403950293873,EIF3B
772,ENSG00000125835.16,1.12238050185875,1.05524174825882,1.1937908948649,0.000243960134125807,1.117300409258,1.02298532740326,1.22031095763311,0.013700806974331,SNRPB,19115,0.840558636591925,3.51512381706877e-21,0.666152755385765,1.01496451779809,95.854203167758,0.158064408431696,SNRPB
1532,ENSG00000170515.12,1.19715321389793,1.10265002949599,1.29975584202473,1.79440510543217e-05,1.21177357519824,1.05238893706422,1.39529706730386,0.00759309627929541,PA2G4,19516,0.473505264849324,4.86854902072594e-21,0.374901911723192,0.572108617975456,94.9418570691076,0.048040470189455,PA2G4
1289,ENSG00000158042.8,1.13859233456825,1.06235443832736,1.22030130205762,0.000242012417714894,1.11694060975843,1.0094093733654,1.23592702687924,0.0322502249672808,MRPL17,57825,0.604599446751984,1.29367707257543e-19,0.473818625625189,0.735380267878779,94.398864983448,0.0917118008945909,MRPL17
435,ENSG00000106244.11,1.08935432802132,1.00022613372,1.18642456137921,0.0493962141683263,1.11104933036987,0.966773806864421,1.27685566753098,0.1378548686498,PDAP1,41601,0.428765107549375,5.85743670379827e-19,0.334285963922985,0.523244251175765,94.3198531154886,0.0456692349813248,PDAP1
1754,ENSG00000185122.9,1.20641713509416,1.12172278780337,1.29750622852098,4.35143474164199e-07,1.20732268802079,1.10650108698501,1.31733090021763,2.28955752976916e-05,HSF1,34983,0.463645839031927,7.91563105770771e-19,0.361094385076789,0.566197292987065,93.2972083334259,0.0534521386351359,HSF1
