,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000180628.13,3059,-0.570678828474245,5.80798191160187e-29,-0.670826430805482,-0.470531226143008,90.9462722576909,0.0490809682455675,PCGF5
ENSG00000005812.9,11935,-0.61419718642902,3.0600335393459e-18,-0.752419199811243,-0.475975173046797,96.3265623421329,0.105377790749379,FBXL3
ENSG00000123091.4,39422,-0.570360016327228,2.76139979091738e-16,-0.706965424323815,-0.433754608330641,96.3046659684978,0.0996257838338103,RNF11
ENSG00000009307.14,32289,-0.399646773735183,7.9126964885835e-16,-0.496883336931726,-0.302410210538639,94.6581291165642,0.0464605121499761,CSDE1
ENSG00000136100.11,36521,-0.383146578644624,3.644485469309e-15,-0.478607740601518,-0.28768541668773,93.874568886867,0.044882548461415,VPS36
ENSG00000114784.3,15767,-0.459011046273926,4.27671899669657e-15,-0.573666053809669,-0.344356038738183,94.4806950777145,0.0660300134475062,EIF1B
ENSG00000169762.15,40143,-0.671221349267285,3.05916581744122e-13,-0.851639857508647,-0.490802841025923,98.045390082927,0.182384315842191,TAPT1
ENSG00000159658.9,56917,-0.425693709193331,1.36562322751502e-12,-0.543414352133573,-0.307973066253089,95.6147145971665,0.0727898341364705,EFCAB14
ENSG00000215301.8,30228,-0.327891866509294,1.57762380830332e-12,-0.418823208583536,-0.236960524435051,86.886043712746,0.0366084403466171,DDX3X
ENSG00000117758.12,26064,-0.606149922414593,2.38868448756978e-12,-0.775634474911835,-0.436665369917351,97.5132369579123,0.155206018675815,STX12
ENSG00000019995.6,40265,-0.59310652250535,2.66011373602905e-12,-0.759301436996367,-0.426911608014334,96.3710873537613,0.145858520169183,ZRANB1
ENSG00000147853.15,44864,-0.731728953109781,2.78041746355886e-12,-0.936949419274878,-0.526508486944684,98.2000723255746,0.241852701767149,AK3
ENSG00000189241.6,43453,-0.674272266467718,4.04473308736325e-12,-0.864817790721698,-0.483726742213737,98.2610142035956,0.204745398324782,TSPYL1
ENSG00000107854.5,47806,-0.226754560977332,6.38665802795235e-12,-0.291439052119395,-0.16207006983527,82.0413237497685,0.016798544126079,TNKS2
ENSG00000119414.10,12791,-0.232639378136373,1.56198722171158e-11,-0.300269665338676,-0.16500909093407,93.4930828714044,0.0231624199927724,PPP6C
ENSG00000104695.11,58362,-0.526758257492463,1.70134472039661e-11,-0.68017417864827,-0.373342336336657,97.7375728198385,0.130284182461133,PPP2CB
ENSG00000166275.14,55003,-0.723547461287704,3.31067675937713e-11,-0.937376977186731,-0.509717945388676,97.9197132333686,0.25935310524322,BORCS7
ENSG00000171862.8,40590,-0.466678291857819,3.64959768459188e-11,-0.604895480268378,-0.32846110344726,96.5062451948888,0.105877240989145,PTEN
ENSG00000131381.11,4614,-0.407558300502534,5.87277061532952e-11,-0.52956942582192,-0.285547175183149,95.5937631569067,0.0755676660255606,RBSN
ENSG00000111897.6,20078,-0.762672166793757,1.56344940665612e-10,-0.996270840114808,-0.529073493472705,98.7061786076763,0.306805792062834,SERINC1
ENSG00000072364.11,20666,-0.346649946546689,1.85862311087123e-10,-0.453266159595632,-0.240033733497746,89.0683442240943,0.0544340432958875,AFF4
ENSG00000111911.6,48294,-0.46196784965441,3.24154234995221e-10,-0.605991155047266,-0.317944544261554,97.0015108663749,0.110951822366213,HINT3
ENSG00000008952.15,26543,-0.409580353952907,4.41759959522602e-10,-0.538258966975783,-0.280901740930032,96.2895446987114,0.089111454373981,SEC62
ENSG00000137414.5,55381,-0.583668030026235,5.68653882342869e-10,-0.768212305444595,-0.399123754607875,97.8459749118686,0.190735847070521,FAM8A1
ENSG00000118564.13,46879,-0.49148695447813,9.70171134893712e-10,-0.64903661676732,-0.33393729218894,96.1850810284566,0.134471782997918,FBXL5
ENSG00000055211.11,37261,-0.533739854114767,1.52310601739563e-09,-0.706882578618009,-0.360597129611524,98.105977504069,0.165421468743345,GINM1
ENSG00000164039.13,55184,-0.842620264538035,2.77616951599865e-09,-1.12044969350326,-0.564790835572806,98.082340785207,0.42114242945205,BDH2
ENSG00000014123.9,35168,-0.319310559644277,3.39883292655576e-09,-0.425185929458657,-0.213435189829897,93.1422739142424,0.0543617289429685,UFL1
ENSG00000119801.11,20194,-0.423377377844109,4.6805262537969e-09,-0.565026952121228,-0.28172780356699,96.5626707794955,0.109603616692616,YPEL5
ENSG00000135070.12,44763,-0.360385966694572,6.58833258503669e-09,-0.482146347453393,-0.238625585935752,95.1451913198517,0.0778777107309905,ISCA1
ENSG00000106993.10,44711,-0.594044149602165,7.33470825126246e-09,-0.795373895253777,-0.392714403950552,98.4189724825997,0.232917065236028,CDC37L1
ENSG00000163939.17,13377,-0.298716229963843,7.96171299810169e-09,-0.400197590447231,-0.197234869480455,90.9889536947068,0.0483150858360952,PBRM1
ENSG00000148730.6,15181,-0.480208386617038,8.60116083636814e-09,-0.643716557637641,-0.316700215596435,97.5566205468439,0.149561218162709,EIF4EBP2
ENSG00000138688.14,7106,-0.613770749300116,9.11678576694302e-09,-0.823114034594624,-0.404427464005608,96.000391496991,0.233674111918472,KIAA1109
